speaker,speech_count
Gwyneth Dunwoody,1
Lucy Powell,1
Joe Ashton,1
Vicky Ford,1
Chi Onwurah,1
Chris Chope,1
David Waddington,1
Liz Twist,1
Chris Leslie,1
Richard Burgon,1
Heidi Alexander,1
Kirstene Hair,1
John Woodcock,1
James Frith,1
John Gummer,1
George Zambellas,1
John Battle,1
Cat Smith,1
Candy Atherton,1
Baroness Perry,1
Ben Gummer,1
Edward Du Cann,1
Bob Ainsworth,1
Alan Whitehead,1
Ian McCartney,1
Matthew Ridley,1
Tony Benn,1
Andrew Lewer,1
Stuart Andrew,1
James Plaskitt,1
Julie Cooper,1
Mark Oaten,1
John Kerry,1
Edmund Harvey,1
Nick Griffin,1
Lord Cashman,1
Joyce Quin,1
Desmond Swayne,1
Baroness Stowell,1
Mark Isherwood,1
Lord Duncan,1
Peter Aldous,1
Paul Fisher,1
Gavin Newlands,1
Stuart Donaldson,1
Tim Collins,1
Andrew Sawford,1
Christine Hardman,1
David Trimble,1
Annabel Goldie,1
Lucy Frazer,1
Mark Carney,1
Simon Danczuk,1
Geoffrey Clifton-Brown,1
Marsha de Cordova,1
Matthew Taylor,1
Ian Gow,1
Lord Hannay,1
Steve Baker,1
Eric Lubbock,1
Robert Hudson,1
Dadabhai Naoroji,1
Adrian Bailey,1
Gisela Stuart,1
Angela Crawley,1
Richard Holt,1
Richard Fuller,1
Fred Jowett,1
Will Quince,1
Gerry Sutcliffe,1
Government Statement,1
Nick Hurd,1
Michael Colvin,1
Earl Howe,1
Paul Goggins,1
Alex Fergusson,1
Laurie Pavitt,1
Mark Sedwill,1
Karin Smyth,1
Philip Jones,1
Jeff Rooker,1
John Patten,1
Ann McKechin,1
Marsha De Cordova,1
